date,open,high,low,close,volume,trend
10/18/2021,35258.60938,35327.57031,35035.94141,35221.01953,312640000,up
10/19/2021,35457.30859,35462.67969,35290.12109,35325.37109,278510000,up
10/20/2021,35609.33984,35669.69141,35465.71094,35475.16016,265750000,up
10/21/2021,35603.07813,35612.35938,35442.53125,35520.32031,298390000,up
10/22/2021,35677.01953,35765.01953,35533.94922,35607.71875,346290000,up
10/25/2021,35741.14844,35787.03906,35629.37109,35692.62109,267220000,up
10/26/2021,35756.87891,35892.92188,35734.73047,35791.05078,321910000,up
10/27/2021,35490.69141,35835.42969,35490.42969,35835.42969,354180000,up
10/28/2021,35730.48047,35742.25,35545.41016,35545.41016,337400000,down
10/29/2021,35819.55859,35852.53125,35633.19922,35712.28125,399400000,up
11/1/2021,35913.83984,36009.73828,35797.96875,35833.64844,292880000,up
11/2/2021,36052.62891,36088.80859,35884.12891,35935.10938,304510000,up
11/3/2021,36157.57813,36178.51172,35891.73047,36059.08984,262540000,up
11/4/2021,36124.23047,36168.03125,35986.48047,36107.46094,307640000,up
11/5/2021,36327.94922,36484.75,36190.19922,36268.75,344600000,up
11/8/2021,36432.21875,36565.73047,36334.42188,36416.46094,284400000,up
11/9/2021,36319.98047,36416.98047,36173.07031,36404.53125,258020000,down
11/10/2021,36079.94141,36346.60938,36009.5,36299.25,278390000,down
11/11/2021,35921.23047,36108.17188,35915.26953,36038.78125,270320000,down
11/12/2021,36100.30859,36147.62891,35934.58984,35963.78125,293180000,down
11/15/2021,36087.44922,36236.07031,36031.78125,36128.82813,280660000,up
11/16/2021,36142.21875,36316.60938,36076.17969,36076.17969,308290000,down
11/17/2021,35931.05078,36159.69922,35909.48047,36159.69922,358310000,up
11/18/2021,35870.94922,35952.62891,35654.39063,35901.69141,435080000,down
11/19/2021,35601.98047,35879.08984,35555.37109,35879.08984,408840000,down
11/22/2021,35619.25,35929.66016,35615.55078,35631.41016,420810000,down
11/23/2021,35813.80078,35841.51953,35542.87109,35619.92188,392520000,down
11/24/2021,35804.37891,35825.46875,35591.03125,35752.30859,280960000,up
11/26/2021,34899.33984,35366.69141,34749.80078,35366.69141,324580000,down
11/29/2021,35135.94141,35287.91016,34895.89063,35017.71094,416040000,down
11/30/2021,34483.71875,35056.98828,34424.44141,35056.98828,678800000,up
12/1/2021,34022.03906,35004.64063,34006.98047,34678.94141,496000000,down
12/2/2021,34639.78906,34759.64844,34076.25,34076.25,466900000,down
12/3/2021,34580.07813,34801.30859,34264.57031,34692.78125,439550000,up
12/6/2021,35227.03125,35356.75,34633.42969,34633.42969,416720000,down
12/7/2021,35719.42969,35819.46875,35423.98828,35423.98828,474940000,up
12/8/2021,35754.75,35840.51953,35602.64844,35716.85156,387650000,up
12/9/2021,35754.69141,35864.23828,35577.14063,35722.26172,353020000,up
12/10/2021,35970.98828,35982.69141,35710.42969,35830.55078,361200000,up
12/13/2021,35650.94922,35958.92969,35609.53125,35958.92969,441110000,up
12/14/2021,35544.17969,35779.46875,35441.73828,35605.73047,440900000,down
12/15/2021,35927.42969,35943.83984,35389.30078,35549.35156,424720000,down
12/16/2021,35897.64063,36189.82813,35778.21094,36036.28125,473620000,up
12/17/2021,35365.44141,35800.10938,35284.26172,35800.10938,750480000,down
12/20/2021,34932.16016,35222.12109,34665.5,35222.12109,386590000,down
12/21/2021,35492.69922,35508.96094,35069.5,35069.5,346080000,down
